Year,'South Africa',Argentina,Australia,Brazil,Canada,China,France
2000,31.5,16.9,8.3,31.2,23.5,18.3,12.6
2001,34.3,33.2,18.4,26.7,21.3,27.4,27.0
2002,33.8,14.3,20.6,11.8,27.3,28.3,9.4
2003,29.2,10.0,23.1,7.1,11.6,7.5,25.8
2004,21.9,9.8,23.2,16.4,10.2,21.3,31.4
2005,22.3,9.0,34.4,34.4,8.4,9.5,29.7
2006,12.0,30.7,20.4,32.2,31.3,13.5,24.7
2007,17.1,7.7,20.3,25.3,26.7,20.8,21.3
2008,8.2,18.0,18.1,32.2,5.6,34.8,7.9
2009,17.0,11.0,18.3,31.5,24.1,11.6,8.4
2010,9.9,5.9,16.9,34.4,5.5,30.9,14.0
2011,21.0,24.5,5.5,26.7,14.0,6.6,21.7
2012,18.5,21.3,16.1,8.2,24.2,17.2,28.4
2013,20.7,25.4,18.0,20.7,22.6,14.4,8.7
2014,5.0,33.4,27.2,24.1,24.8,7.6,33.9
2015,31.1,20.7,6.2,28.9,25.4,10.1,29.6
2016,13.9,7.2,8.1,28.1,32.2,32.4,32.6
2017,11.3,21.2,29.0,7.7,16.3,16.9,28.0
2018,33.9,34.6,5.4,30.8,29.8,19.4,23.2
2019,26.8,21.5,23.0,21.0,21.8,31.7,12.7
2020,26.7,8.4,34.2,26.7,33.3,32.3,5.1
2021,12.7,21.0,24.9,27.5,25.1,29.7,21.9
2022,32.8,27.7,11.1,18.4,28.7,22.8,20.2
2023,14.6,30.2,11.5,24.4,10.7,22.5,9.8
